chemical    a    b    c    t_min (celsius)    t_max (celsius)
t-1,3-dimethylcyclopentane    6.83817    1240.023    221.621    -9    117
t-1,3-dimethylcyclohexane    6.83455    1343.687    215.394    15    152
t-1,2-dimethylcyclopentane    6.84422    1242.748    221.686    -9    117
t-1,2-dimethylcyclohexane    6.83308    1353.881    219.132    13    151
sulfolane    7.415    2207.21    201.794    27.6    575.85
succinonitrile    7.4738    2086.17    187.208    58.15    496.85
succinic anhydride    8.03192    2582.17    237.855    119.85    537.85
succinic acid    8.14478    2441.39    145.942    188    532.85
styrene    6.9571    1445.58    209.44    32    187
styrene    6.94579    1443.88    210.039    -30.61    374.85
spiropentane    6.917    1090.08    231.1    3    71
spiropentane    7.22104    1250.41    249.058    3    226.59
sorbitol    10.2336    4586.45    119.915    97.7    685.85
sec-butylcyclopentane    6.95241    1482.16    209.674    39.3276    353.44
sec-butylbenzene    6.90771    1536.8    208.305    -75.43    391.39
sec-butylamine    7.15069    1238.3    227    -9    98
sec-butylamine    7.17241    1290.85    237.787    -104.5    241.15
sec-butyl-ether    6.79153    1348.53    223.79    57    149
sec-butyl-alcohol    7.4743    1314.19    186.51    25    120
sec-butyl propanoate    7.38037    1412.36    180.889    64.809    305.85
sec-butyl mercaptan    7.15048    1391.49    240.922    -140.13    280.85
sec-butyl isocyanide    6.89682    1185.65    183.38    35.3858    292.735
sec-butyl glycolate    7.92251    2068.51    232.782    28.3    177.5
sec-butyl formate    6.82272    1125.4    195.097    -1.81906    273.85
sec-butyl butanoate    6.98455    1352.83    177.659    67.9791    322.85
sec-butyl acetate    7.32351    1539.86    234.604    -99    287.85
sec-butanol    7.56142    1448.35    209.886    -114.7    262.86
sebacic acid    8.44589    2959.84    162.919    134.5    541.85
salicylic acid    7.97042    2114.97    159.697    158.6    465.85
salicylaldehyde    8.34867    2565.85    272.761    -7    406.85
resorcinol    7.96913    2282.29    172.036    108.85    536.85
quinoline    7.23233    1909.9    201.305    -14.9    509
pyruvic acid    8.30281    2241.01    248.318    13.6    361.37
pyrrolidine    6.9246    1179.99    205.26    27    127
pyrrolidine    7.15003    1291.56    215.958    -57.84    295.4
pyrrole    7.20345    1451.6    205.963    -23.41    366.6
pyromellitic acid    9.19171    3487.92    103.832    280.85    619.85
pyrocatechol    8.71149    3032.88    274.659    104.45    490.85
pyridine    6.9882    1344.2    212.01    12    152
pyridine    7.1874    1463.63    224.598    -41.64    346.8
pyrene    7.4202    2698    199.552    150.66    662.85
propyne(methylacetylene)    6.78485    803.73    229.08    -90    -6
propylisopropylamine    6.94736    1166.58    188.573    24.6869    265.407
propyleneimine    7.20945    1270    232.545    -44.15    255.85
propylene-oxide    6.6546    915.31    208.29    -48    67
propylene    7.01672    860.992    255.895    -184.15    91.61
propylcyclopropane    7.00721    1217.33    225.862    17.2547    246.997
propylcyclopentane    6.90392    1384.386    213.159    21    158
propylcyclopentane    7.01197    1485.23    228.559    -117.34    329.85
propylcyclohexane    6.88646    1460.8    207.939    40    186
propylcyclohexane    6.92797    1529.11    221.073    -94.87    366
propylbenzene    6.95142    1491.297    207.14    43    188
propylbenzene    7.18167    1655.21    225.615    -99.48    365.23
propylamine    6.9468    1108.2    224.01    -38    77
propylamine    7.27675    1257.56    237.574    -83    223.8
propyl-undecyl-sulfide    5.61512    1421.32    205.81    187    376
propyl-tridecyl-sulfide    5.46123    1421.32    205.81    204    416
propyl-tetradecyl-sulfide    5.39727    1421.32    205.81    212    434
propyl-sulfide    6.93577    1413.44    205.73    32    170
propyl-nitrate    7.73719    1721.723    245.49    0    70
propyl-ether    6.9476    1256.5    219    26    89
propyl-disulfide    6.97529    1603.793    195.848    73    226
propyl-alcohol    7.6192    1375.14    193.01    12    127
propyl undecyl sulfide    7.78265    2485.95    211.297    245.85    345.85
propyl tridecyl sulfide    7.22342    2014.32    140    273.85    373.85
propyl tetradecyl sulfide    7.25728    2069.41    135    287.85    387.85
propyl propanoate    7.20119    1501.07    224.94    -75.9    304.85
propyl phenyl sulfide    7.18304    1794.89    197.2    149.1    447.043
propyl pentyl sulfide    7.09805    1717.84    220.489    136.85    236.85
propyl pentadecyl sulfide    7.13143    2069.41    135    301.85    401.85
propyl octyl sulfide    7.09661    1759.04    170.4    196.85    296.85
propyl nonyl sulfide    7.61843    2223.04    205.383    213.85    313.85
propyl nitrate    7.72383    1721.67    245.486    -10    120
propyl methacrylate    7.17755    1547.39    219.281    -50.15    325.85
propyl mercaptan    7.11863    1284.31    235.338    -113.2    262.85
propyl isopropyl ether    6.95564    1181.7    210    5.69693    245.808
propyl isocyanide    6.91079    1147.02    185.622    25.4728    280.937
propyl hexyl sulfide    7.15298    1737.33    199.813    156.85    256.85
propyl hexadecyl sulfide    7.20937    2103.03    124    311.85    411.85
propyl heptyl sulfide    7.16824    1809.06    195.094    176.85    276.85
propyl heptadecyl sulfide    7.18259    2111.53    119.001    321.85    421.85
propyl formate    7.21129    1355.8    232.264    -92.9    264.85
propyl dodecyl sulfide    7.22529    1980.43    146    259.85    359.85
propyl decyl sulfide    7.13871    1863.9    157.9    229.85    329.85
propyl butyl sulfide    7.15241    1575.03    210.873    107.85    207.85
propyl butanoate    7.36547    1681.07    231.55    -95.2    320.85
propyl alcohol    7.77374    1518.16    213.076    -73.15    263.56
propyl acrylate    7.21702    1440.91    213.296    0    295.85
propyl acetate    7.22305    1408.02    222.76    -95    276.25
propionitrile    6.9301    1277.2    218.01    -3    132
propionitrile    7.29327    1480.58    238.197    -92.89    291.25
propionic anhydride    7.88478    2020.68    234.815    -45    344.85
propionaldehyde    7.0493    1154.8    229.01    -38    77
propionaldehyde    7.30641    1285.88    242.556    -80    222.85
propenylbenzene,trans    7.54993    1909.08    238.87    105    197
propenylbenzene,cis    7.44961    1909.083    238.874    18    179
propene    6.8196    785    247    -112    -32
propargyl chloride    7.02798    1230.74    238.915    19.85    267.85
propargyl alcohol    8.03112    1838.05    243.282    -51.8    306.85
propanoic acid    7.66944    1727.17    219.512    -20.7    330.85
propanoate    7.85038    2800    190    323.43    423.43
propane    6.80398    803.81    246.99    -108    -25
propane    6.80338    804    247.04    -108    -35.65
propane    7.01887    889.864    257.084    -187.69    96.67
piperidine    7.13925    1427.24    228.756    -10.5    320.9
piperazine    7.37904    1564.9    201.893    106    364.85
phthalic anhydride    9.30387    4271.98    380.602    131    517.85
phthalic acid    8.16112    2473.61    143.61    191    526.85
phosgene    7.13083    1060.08    241.87    -127.78    181.85
phenylhydrazine    7.69242    2180.88    209.754    19.2    487.85
phenylbenzene (biphenyl)    7.1367    1883.14    187.48    69.22    516.11
phenyl mercaptan    7.06085    1549.9    201.647    -14.89    415.85
phenyl isocyanate    7.6215    1942.05    244.056    -30    374.85
phenol    7.1345    1516.07    174.57    72    208
